iteration	type	hypothesis	result	severity	location	description
1	hypothesis	Option chain missing pagination	confirmed	HIGH	providers/alpaca/options.py:22-88	get_option_chain single request, truncates at 1000 contracts
1	hypothesis	Option snapshots missing pagination	confirmed	HIGH	providers/alpaca/options.py:316-338	get_option_snapshots single request, no limit param
2	hypothesis	Finnhub crypto candles no pagination	disproven	-	providers/finnhub.py:1188	Finnhub returns all candles in one response, no pagination needed
3	hypothesis	UW return-empty is silent failure	disproven	-	providers/uw/*.py	Intentional guard clauses for optional provider, logged warnings
4	hypothesis	News provider missing pagination	confirmed	HIGH	providers/alpaca/news.py:19-97	get_news single request, truncates at 50 articles
5	hypothesis	Missing @http_retry on paginated methods	confirmed	MEDIUM	crypto.py:146, options.py:191	get_historical_crypto_quotes and get_historical_option_quotes missing retry
6	hypothesis	AlphaVantage [:50] truncation	disproven	-	providers/alphavantage.py:997	Intentional design choice for economic indicators
7	hypothesis	Finnhub [:50] truncation	disproven	-	providers/finnhub.py:402,443	Safety cap, Finnhub returns all data in one response
8	hypothesis	do_not_exercise hits wrong API URL	confirmed	CRITICAL	providers/alpaca/trading.py:351-374	Uses data API URL instead of trading API URL
9	hypothesis	Normalizers silently produce bad values	disproven	-	providers/alpaca/_base.py:217-265	Uses direct key access, raises KeyError on missing fields
10	hypothesis	Stock endpoint default time range missing	disproven	-	api/alpaca/stock.py:47-50	24-hour default correctly applied
11	hypothesis	Stream sink silently drops events	disproven	-	main.py:191-206	Backpressure drops are logged and metricked
12	hypothesis	execute_alpaca_provider_call swallows errors	disproven	-	api/alpaca/common.py:65-97	Properly propagates all errors as HTTPException
13	hypothesis	_parse_timestamp silently corrupts timestamps	disproven	-	providers/alpaca/_base.py:211-215	Raises ValueError on bad input, correct otherwise
14	hypothesis	Inconsistent model_dump serialization	confirmed	MEDIUM	api/alpaca/crypto,options,news,screener,corporate,market	Crypto/options/news used model_dump() without mode="json", causing inconsistent response types
15	hypothesis	http_retry missing network errors	disproven	-	core/http_client.py:40-52	Retries TransportError, TimeoutException, and 429/502/503/504
16	hypothesis	Envelope crypto instrument_key wrong	disproven	-	core/envelope.py:86-95	Slash-separated pairs normalized correctly, edge case only for unseparated 4+ char base
17	hypothesis	Circuit breaker stuck open	disproven	-	core/circuit_breaker.py:159-174	OPEN→HALF_OPEN recovery after configurable timeout
18	hypothesis	Backfill silently drops symbols	disproven	-	core/backfill.py:526-535	Per-symbol progress tracked, partial failures visible
19	hypothesis	Failover ignores empty results	disproven	-	core/execution.py:18-85	Empty data is valid response, failover for errors only
20	hypothesis	HybridCache serves stale L1 data	disproven	-	core/cache.py:391-442	Standard TTL-based consistency, bounded staleness
21	hypothesis	Pagination ignores caller limit	confirmed	HIGH	providers/alpaca/market,crypto,options,forex	All paginated methods used limit as per-page only, never capped total results
22	hypothesis	HybridCache stale L1 after L2 eviction	disproven	-	core/cache.py:434	Standard TTL-based consistency, staleness bounded by L1 TTL
23	hypothesis	Pagination limit as total cap (stock)	confirmed	HIGH	providers/alpaca/market.py	Stock bars/trades/quotes also lacked total limit cap despite having pagination
24	hypothesis	Finnhub s:no_data handling	disproven	-	providers/finnhub.py:254-256	Properly checks status field and logs warning
25	hypothesis	StreamMultiplexer subscription race	disproven	-	core/stream.py:507-576	Simple message sends, no local mutable state to race
26	hypothesis	Bulk endpoint drops results	disproven	-	core/bulk.py:689-729	Per-symbol error handling with logging, continue-on-error pattern
27	hypothesis	Rate limiter phantom request inflation	confirmed	MEDIUM	core/rate_limiter.py:142-163	Per-second bucket recorded before per-minute check, inflating counts
28	hypothesis	AlphaVantage wrong sort order	disproven	-	providers/alphavantage.py:223-230	ISO date strings sort correctly, descending order check is valid
29	hypothesis	Envelope misclassifies equities as crypto	noted	LOW	core/envelope.py:267	Substring matching for BTC/ETH/USD is fragile but fallback-only path
30	hypothesis	Redis sink silent data loss	disproven	-	core/redis_sink.py:322-416	3 retries + 10K failed event buffer + drain on reconnect
31	hypothesis	_get_data_safe type inconsistency	noted	MEDIUM	providers/uw/_base.py:187	Returns dict/list/None depending on list length, callers using .get() crash on multi-element list
32	hypothesis	UW int() crash on float strings	confirmed	HIGH	providers/uw/*.py	47 callsites used bare int() on UW float strings, crashes with ValueError
33	hypothesis	UW poller skips tickers silently	disproven	-	core/uw_poller.py:778-784	Per-ticker error logging with feed name, error counts tracked
34	hypothesis	Finnhub batch quotes missing	disproven	-	providers/finnhub.py:153-171	Semaphore-controlled concurrency, partial results OK
35	hypothesis	Finnhub missing @http_retry	disproven	-	providers/finnhub.py	Comprehensive retry coverage on all endpoints
36	hypothesis	Quotes poller drops batches	disproven	-	core/quotes_poller.py:250-283	Batch-level failure correct (all would fail anyway)
37	hypothesis	WebSocket rejects crypto/options	confirmed	HIGH	core/security.py:175-208	validate_symbols_array defaults to stock regex, rejects /, digits
38	hypothesis	DataSinkRegistry skips failed sinks	disproven	-	core/data_sink.py:129-200	Circuit breaker + backpressure + metrics per sink
39	hypothesis	Calendar missing 2027	noted	MEDIUM	core/calendar.py:159-208	Static holidays stop at 2026-12-25, 2027 holidays would be treated as trading days
40	hypothesis	Option capture race condition	disproven	-	core/option_capture.py:341-378	Set-based reconciliation, single async entry point
41	hypothesis	Finnhub insider pagination	disproven	-	providers/finnhub.py:804-840	API returns all data in one response, no pagination needed
42	hypothesis	UW flow pagination	disproven	-	providers/uw/flow.py:63-102	Continuous polling design, limit/offset as intended
43	hypothesis	AlphaVantage silent rate-limit	disproven	-	providers/alphavantage.py:145-175	Checks Note/Information/Error Message, raises on rate limit
44	hypothesis	Dedup race condition	disproven	-	core/dedup.py:43-86	Striped locks + futures, proper error propagation
45	hypothesis	AlphaVantage max_points ignored	confirmed	MEDIUM	providers/alphavantage.py:755,916,968	3 methods hardcoded limit=100 ignoring max_points parameter
